Word,Meaning,Example,Synonyms
apposite,appropriate,,
sequester,isolate or hideaway,,
evangelist,प्रचारक; prachar prasar garne manche; preacher,,
bootless,useless,,
recourse,option; possibility,,
harness,utilize; make use of,,
epiphany,sudden and great realization,,
detain,delay; slow down; hinder; obstruct,,
fragile,"easily broken; weak, tenuous, delicate",,
imperative,an essential or urgent thing.; of vital importance; crucial,,
sinewy,lean and muscular,,
wiry,lean and muscular and strong; sinewy,,
acclaim,praise enthusiastically and publicly,,
livestock,farm animals regarded as an asset,,
protracted,lasting for a long time or longer than expected or usual; prolonged; extended,,
piddling,pathetically trivial; trifling; insignificant; footling; small,piddling little questions,
slump,"sit, lean, or fall heavily and limply;",she slumped against the cushions,
dispense,distribute or provide,,
charismatic,charming; fascinating,,
meritorious,praiseworthy; laudable; commendable,,
skittish,restive,,
subliminal,subconscious; unconscious; hidden; concealed,,
purblind,partially blind,,
astigmatic,refractive error in which the eye does not focus light evenly on the retina,,
mordant,caustic; biting; trenchant;,a mordant sense of humour,
oppression,abuse; maltreatment; persecution,,
prim,demure; proper; formal,,
meretricious,flashy; pretencious; gaudy; tawdry,,
aristocracy,the highest class in certain societies; the nobelity,,
persecution,oppression; ill-treatment,,
rebut,refute; prove to be false,,
peddle,sell; ,,
steward,a person employed to manage another's property; agent; overseer;,,
upend,to end somthing or turn something upside down,,
procure,obtain; acquire; get,,
galley,a proof,,
seasoned,experienced; practised,,
retrospective,back-dated; backward looking,,
medley,mixture; melange; assortment;,,
bald,plain or blunt,,
hale,strong and healthy; fit;,,
priggish,sanctimonious; houlier-than-thou; self-righteous; smug; self-statisfied,,
equable,"1. even-tempered, calm;      2. not varying, stable, constant",,
mischievous,"1. naughty, bad, misbehaving;    2. malicious, malevolent, venomous",,
puckish,playful in a mischievous way; mischievous; playful,,
prurient,salacious; licentious; lewd,,
somber,"1. dark or dull in colour or tone; dark, dull;     2. having or conveying a feeling of deep seriousness and sadness., serious, grave, sober",,
puritanical,moralistic; prim;,,
triage,decide the order of treatment,,
uncouth,"lacking good manners, refinement, or grace; uncivilized; uncultured",,
temper,"(noun) state of mind; (verb) 1. harden, strengthen;   2. modify",,
depict,portray; represent;,,
irrefutable,that which cannot be denied; indisputable; undeniable;,,
wry,"1. sardonic, sarcastic, mocking    2. disgusted, displeased, discontended",,
flabbergasted,"surprise (someone) greatly; astonish, startle",,
bedazzled,greatly impressed,,
disposed,inclined or willing,,
indoctrinated,"teach, inculcate",,
revivification,give new life or vigour to,,
mutation,"variation, change",,
rejuvenation,"look or feel better, younger, or more vital",,
abridge,"shorten (a piece of writing) without losing the sense; shorten, cut, curtail",,
putative,supposed; assumed; presumed,,
irreconcilable,incompatible; incongruous,,
tactless,insensitive; thoughtless,,
trepidation,apprehension,,
momentous,important; significant,,
baffling,confusing,,
aptitude,tendency; inclination;,,
temperaments,nature; character,,
panorama,view; overview,,
annotation,note; comment;,,
countenance,agree to; allow,,
harbringer,herald; sign; indicator;,,
credible,believable,,
merit,excellence,,
acclaimed,publicly praised,,
grim ,"aloof, distant, uninviting",,
ludicrous,"absurd, ridiculous",,
longstanding,established; fixed,,
deterministic,believing that everything that happens must happen as it does and could not have happened any other way,,
hyperbolic,deliberately exaggerated,,
erode,gradually destroy,,
bourgeois,middle-class,,
sacrilegious,profane; impious; not-religious,,
profane,secular; not-religious,,
foresee,predict; anticipate; forecast,,
satirize,mock; ridicule; satire,,
hieroglyph ,a secret or incomprehensible symbol,,
ineptitude ,lack of skill or ability,,
forgo,go without; do without,,
diminution,curtail; attenuation,,
inept,incompetent; unskillful,,
muddle,confuse; mix up,,
indulgent,easy-going; permissive; tolerant,,
sartorial,relating to clothes,,
panoptic,comprehensive; all-seeing; inclusive,,
pander,gratify; indulge; satisfy,,
hankering,a strong desire to have or do something,,
aggrieve,to make someone unhappy and angry,,
erstwhile,former; old; past,,
contrive,engineer; create; manufacture,,
fabricate,"1. forge; fake  2. make, create",,
buoyant,cheerful; optimistic,,
funereal,grave; serious,,
garish,over-bright;,,
tenet,principle; belief,,
niggardly,miserly; mean,,
debauch,corrupt,,
unstinted,lavish,,
cursory,perfunctory; casual,,
appraise,assess the value or quality of; evaluate,,
devout,pious; religious; devoted,,
overhaul,maintain; service; repair,,
delinquency,"minor crime, especially that committed by young people",,
mediation,arbitration; intervention in a dispute in order to resolve it,,
felony,crime; misdemeanour; wrongdoing,,
demeanour,behaviour; manner,,
assay,evaluate; assess; analyze,,
lobbying,try to persuade,,
instigate,incite; encourage; set in motion,,
hysteria,exaggerated or uncontrollable emotion or excitement; frenzy; wildness,opposite :: calmness,
folly,foolishness; stupidity,,
fiasco,complete failure,,
rectitude,righteousness; goodness; virtue; morality,,
efface,erase; expunge,,
seethe,crowded,,
flogging,punish; whip,,
tremulous,shaky; trembling,,
nescient,ignorant; lacking knowledge,,
horrendous,horrible; extremely terrible,,
felony,crime,,
execrate,decry; loath; denounce,,
nepotism,favoritism,,
abomination,"hatred; aversion
",,
jinx,curse; spell; bad-luck,,
superannuated,old,,
contemporary,modern,,
obsolescent,become obsolete,,
virility,manliness; mascuilinity,,
slothful,lazy,,
progeny,offspring; children,,
substantial,considerable; essential; fundamental,,
dejection,sad and depressed state; low spiritis,,
encroach,intrude; impinge,,
cede,surrender; give up; concede,,
posturing,behaviour that is intended to impress or mislead,,
comport,conduct oneself; behave; act,,
stance ,posture; pose,,
poised,having a composed and self-assured manner; self-possessed; cool,,
relentless,unceasingly intense; persistent; continuous,,
correspondence,similarity; correlation; resemblance,,
statuary,statues regarded collectively,,
objurgate,rebuke severely; scold,,
lucrative,profitable,,
apologist,advocate; proponent,,
"epistolary
",in the form of letters,,
subvert,undermine the power and authority of; overthrow; destabilize; overturn,,
plight,"a dangerous, difficult, or otherwise unfortunate situation; predicament",,
bungling,the action or fact of carrying out a task clumsily or incompetently; incompetance; amateurish,,
matched,put together as being equal,,
beholden,owing thanks or having a duty to someone in return for help or a service; indebted,,
inept,unskilful; incompetent; amateurish,,
conviction,belief; opinion; view; thought,,
